stock_name	*germplasm_type	alias	*genus	*species	maternal_parent	paternal_parent	mutation_parent	selfing_parent	pedigree	description	origin	comments	stock_name_norm	alias_norm	source_book
CIMBL84	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL84			AMP	CIMBL84		metabolite_183_known
CIMBL85	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL85			AMP	CIMBL85		metabolite_183_known
CIMBL86	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL86			AMP	CIMBL86		metabolite_183_known
CIMBL87	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL87			AMP	CIMBL87		metabolite_183_known
CIMBL88	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL88			AMP	CIMBL88		metabolite_183_known
CIMBL89	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL89			AMP	CIMBL89		metabolite_183_known
CIMBL9	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL9			AMP	CIMBL9		metabolite_183_known
CIMBL90	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL90			AMP	CIMBL90		metabolite_183_known
CIMBL91	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL91			AMP	CIMBL91		metabolite_183_known
CIMBL92	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL92			AMP	CIMBL92		metabolite_183_known
CIMBL93	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL93			AMP	CIMBL93		metabolite_183_known
CIMBL94	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL94			AMP	CIMBL94		metabolite_183_known
CIMBL95	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL95			AMP	CIMBL95		metabolite_183_known
CIMBL96	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL96			AMP	CIMBL96		metabolite_183_known
CIMBL97	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL97			AMP	CIMBL97		metabolite_183_known
CIMBL98	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL98			AMP	CIMBL98		metabolite_183_known
CIMBL99	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL99			AMP	CIMBL99		metabolite_183_known
CML113	cultivar		Zea	mays cultivar:B73					test-pedigree-CML113			AMP	CML113		metabolite_183_known
CML114	cultivar		Zea	mays cultivar:B73					test-pedigree-CML114			AMP	CML114		metabolite_183_known
CML115	cultivar		Zea	mays cultivar:B73					test-pedigree-CML115			AMP	CML115		metabolite_183_known
CML116	cultivar		Zea	mays cultivar:B73					test-pedigree-CML116			AMP	CML116		metabolite_183_known
CML118	cultivar		Zea	mays cultivar:B73					test-pedigree-CML118			AMP	CML118		metabolite_183_known
CML121	cultivar		Zea	mays cultivar:B73					test-pedigree-CML121			AMP	CML121		metabolite_183_known
CML122	cultivar		Zea	mays cultivar:B73					test-pedigree-CML122			AMP	CML122		metabolite_183_known
CML130	cultivar		Zea	mays cultivar:B73					test-pedigree-CML130			AMP	CML130		metabolite_183_known
CML134	cultivar		Zea	mays cultivar:B73					test-pedigree-CML134			AMP	CML134		metabolite_183_known
CML139	cultivar		Zea	mays cultivar:B73					test-pedigree-CML139			AMP	CML139		metabolite_183_known
CML162	cultivar		Zea	mays cultivar:B73					test-pedigree-CML162			AMP	CML162		metabolite_183_known
CML163	cultivar		Zea	mays cultivar:B73					test-pedigree-CML163			AMP	CML163		metabolite_183_known
CML165	cultivar		Zea	mays cultivar:B73					test-pedigree-CML165			AMP	CML165		metabolite_183_known
CML166	cultivar		Zea	mays cultivar:B73					test-pedigree-CML166			AMP	CML166		metabolite_183_known
CML168	cultivar		Zea	mays cultivar:B73					test-pedigree-CML168			AMP	CML168		metabolite_183_known
CML169	cultivar		Zea	mays cultivar:B73					test-pedigree-CML169			AMP	CML169		metabolite_183_known
