trait_descriptor_set	*descriptor_name	Alias	*format	trait_name	data_unit	definition	source_book
SITE_CV	9_Oxo_12_octadecenoic_acid_E3		numeric				metabolite_183_known
SITE_CV	Hydroxylinoleic_acid_E3		numeric				metabolite_183_known
SITE_CV	N_acetylneuraminic_acid_E3		numeric				metabolite_183_known
SITE_CV	Gibberellin_A4_E3		numeric				metabolite_183_known
SITE_CV	Acetylintermedine_E3		numeric				metabolite_183_known
SITE_CV	Sinapoyl_glucose_E3		numeric				metabolite_183_known
SITE_CV	Benzamidine_E3		numeric				metabolite_183_known
SITE_CV	Adenine_E3		numeric				metabolite_183_known
SITE_CV	Trigonelline_E3		numeric				metabolite_183_known
SITE_CV	Serotonin_E3		numeric				metabolite_183_known
SITE_CV	L_Tryptophan_E3		numeric				metabolite_183_known
SITE_CV	Elaeokanine_C_E3		numeric				metabolite_183_known
SITE_CV	Ethyl_syringate_E3		numeric				metabolite_183_known
SITE_CV	Halaminol_A_E3		numeric				metabolite_183_known
SITE_CV	N_Coumaroylputrescine_E3		numeric				metabolite_183_known
SITE_CV	Apodophyllone_E3		numeric				metabolite_183_known
SITE_CV	Austricine_E3		numeric				metabolite_183_known
SITE_CV	Thiamin_E3		numeric				metabolite_183_known
SITE_CV	Apigenin_E3		numeric				metabolite_183_known
SITE_CV	N_Coumaroylagmatine_E3		numeric				metabolite_183_known
SITE_CV	Crotonoside_E3		numeric				metabolite_183_known
SITE_CV	Sphinganine_E3		numeric				metabolite_183_known
SITE_CV	N2.N2_Dimethylguanosine_E3		numeric				metabolite_183_known
SITE_CV	Caffeoyltryptamine_E3		numeric				metabolite_183_known
SITE_CV	2_Amino_9_methyl_4_octadecene_1.3.8_triol_E3		numeric				metabolite_183_known
SITE_CV	Tricin_E3		numeric				metabolite_183_known
SITE_CV	Fructose_1.6_diphosphate_E3		numeric				metabolite_183_known
SITE_CV	N_Coumaroyl_spermidine_derivative_E3		numeric				metabolite_183_known
SITE_CV	Zeanoside_B_E3		numeric				metabolite_183_known
SITE_CV	trans_Zeatin_O_glucoside_E3		numeric				metabolite_183_known
SITE_CV	Succinyladenosine_E3		numeric				metabolite_183_known
SITE_CV	Acetosyringone_E3		numeric				metabolite_183_known
SITE_CV	Lincomycin_E3		numeric				metabolite_183_known
SITE_CV	Apigenin_7_O_glucoside_E3		numeric				metabolite_183_known
SITE_CV	Vitexin_E3		numeric				metabolite_183_known
SITE_CV	Cyanidin_3_O_glucoside_E3		numeric				metabolite_183_known
SITE_CV	Chrysoeriol_O_hexoside_E3		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_15:0_1_E3		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_15:0_2_E3		numeric				metabolite_183_known
SITE_CV	Tricin_4p_O_erythro_beta_guaiacylglyceryl_ether_E3		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:3_1_E3		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:3_2_E3		numeric				metabolite_183_known
SITE_CV	Apigenin_C_pentosyl_C_pentoside_E3		numeric				metabolite_183_known
SITE_CV	Tricin_derivative_E3		numeric				metabolite_183_known
SITE_CV	Chrysoeriol_C_hexosyl_O_pentoside_E3		numeric				metabolite_183_known
SITE_CV	Chrysoeriol_O_rhamnosyl_O_hexoside_E3		numeric				metabolite_183_known
SITE_CV	N.N_Di_coumaroyl_N_feruloylspermidine_E3		numeric				metabolite_183_known
SITE_CV	Chrysoeriol_di_O_hexoside_E3		numeric				metabolite_183_known
SITE_CV	Tricin_4p_O_threo_beta_guaiacylglyceryl_ether_O_hexoside_E3		numeric				metabolite_183_known
SITE_CV	Apigenin_C_pentosyl_O_coumaroylhexoside_E3		numeric				metabolite_183_known
SITE_CV	C_pentosyl_apigenin_O_caffeoylhexoside_E3		numeric				metabolite_183_known
SITE_CV	Ferulic_acid_E3		numeric				metabolite_183_known
SITE_CV	D_Glucose_6_phosphate_E3		numeric				metabolite_183_known
SITE_CV	Guanosine_E3		numeric				metabolite_183_known
SITE_CV	3_Oxo_2_2_entenylcyclopentaneoctanoic_acid_E3		numeric				metabolite_183_known
SITE_CV	Chrysoeriol_E3		numeric				metabolite_183_known
SITE_CV	Quercetin_E3		numeric				metabolite_183_known
SITE_CV	Hesperetin_E3		numeric				metabolite_183_known
SITE_CV	Feruloylagmatine_derivative_E3		numeric				metabolite_183_known
SITE_CV	N_Feruloylagmatine_E3		numeric				metabolite_183_known
SITE_CV	Glutathione_E3		numeric				metabolite_183_known
SITE_CV	Selgin_derivative_E3		numeric				metabolite_183_known
SITE_CV	N_Feruloyl._N_methoxyagmatine_E3		numeric				metabolite_183_known
SITE_CV	Bufotenine_O_glucoside_E3		numeric				metabolite_183_known
SITE_CV	L_Proline_E3		numeric				metabolite_183_known
SITE_CV	Tricin_O_hexoside_E3		numeric				metabolite_183_known
SITE_CV	Malvidin_3_O_hexoside_E3		numeric				metabolite_183_known
SITE_CV	3p.4p.5p_Tricetin_O_hexoside_E3		numeric				metabolite_183_known
