trait	trait_group	total_non_missing	train_non_missing	val_non_missing	test_non_missing	missing_rate	variance	used_for_baseline
metabolite__Guanosine_E2	metabolite	320	238	44	38	0.30585683297180044	235344106108934.12	True
metabolite__3_Oxo_2_2_entenylcyclopentaneoctanoic_acid_E2	metabolite	320	238	44	38	0.30585683297180044	199640379856.03345	True
metabolite__Chrysoeriol_E2	metabolite	320	238	44	38	0.30585683297180044	35668421387.73413	True
metabolite__Quercetin_E2	metabolite	320	238	44	38	0.30585683297180044	4881658985805.25	True
metabolite__Hesperetin_E2	metabolite	320	238	44	38	0.30585683297180044	5241344870851.857	True
metabolite__Feruloylagmatine_derivative_E2	metabolite	320	238	44	38	0.30585683297180044	8264217413983.425	True
metabolite__N_Feruloylagmatine_E2	metabolite	320	238	44	38	0.30585683297180044	1060659715705.3291	True
metabolite__Glutathione_E2	metabolite	320	238	44	38	0.30585683297180044	116308799357366.77	True
metabolite__Selgin_derivative_E2	metabolite	320	238	44	38	0.30585683297180044	3580018645.3485503	True
metabolite__N_Feruloyl_N_methoxyagmatine_E2	metabolite	320	238	44	38	0.30585683297180044	5324406052713.338	True
metabolite__Bufotenine_O_glucoside_E2	metabolite	320	238	44	38	0.30585683297180044	209027241.76234326	True
metabolite__L_Proline_E2	metabolite	320	238	44	38	0.30585683297180044	1383588145313479.5	True
metabolite__Tricin_O_hexoside_E2	metabolite	320	238	44	38	0.30585683297180044	3443318273814.655	True
metabolite__Malvidin_3_O_hexoside_E2	metabolite	320	238	44	38	0.30585683297180044	14386838196.175549	True
metabolite__3p_4p_5p_Tricetin_O_hexoside_E2	metabolite	320	238	44	38	0.30585683297180044	7940635781.065673	True
metabolite__N_N_caffeoyl_Feruloyl_spermidine_derivative_E2	metabolite	320	238	44	38	0.30585683297180044	5716783284105.329	True
metabolite__Chrysoeriol_C_hexosyl_O_rhamnoside_E2	metabolite	320	238	44	38	0.30585683297180044	18847062840.341682	True
metabolite__Hesperidin_E2	metabolite	320	238	44	38	0.30585683297180044	594245421.3156348	True
metabolite__Chrysoeriol_di_C_hexoside_E2	metabolite	320	238	44	38	0.30585683297180044	19895809959.733543	True
metabolite__Tricin_O_pentosyl_O_hexoside_E2	metabolite	320	238	44	38	0.30585683297180044	44145873147.29526	True
metabolite__Tricin_O_rhamnosyl_O_hexoside_E2	metabolite	320	238	44	38	0.30585683297180044	1476147659614.8872	True
metabolite__3p_4p_5p_Tricetin_O_rhamnosyl_O_hexoside_E2	metabolite	320	238	44	38	0.30585683297180044	2532717506.0701804	True
