seed	trait	model	split	train_non_missing	test_non_missing	n_eval	r2	pearson	spearman	mae	rmse
20260608	metabolite__Norcinnamolaurine_E1	genotype_population_ridge	test	122	24	24	0.08064719558774502	0.29012965071757457	0.2670145746965937	5929875.327484377	8006439.491309607
20260608	metabolite__Norcinnamolaurine_E1	genotype_population_gene_methylation_pca_ridge	test	122	24	24	0.11438662573746594	0.3471755696544263	0.3853011615328697	5856984.593049437	7858151.662897465
20260608	metabolite__Norcinnamolaurine_E1	genotype_population_sparse_methylation_elasticnet	test	122	24	24	-0.1329527903786336	0.1711265193694223	0.22961513915277112	7090210.956005623	8888003.765264511
20260608	agri_aa_oil__Oil_C18_0	genotype_population_ridge	test	158	34	34	0.5056271734337362	0.7911861520297212	0.4906035141329259	0.026049265534778734	0.03205032982444015
20260608	agri_aa_oil__Oil_C18_0	genotype_population_gene_methylation_pca_ridge	test	158	34	34	0.615625417055113	0.8239126197741955	0.5064935064935064	0.023410635704003348	0.028260675497466244
20260608	agri_aa_oil__Oil_C18_0	genotype_population_sparse_methylation_elasticnet	test	158	34	34	0.5673051170386283	0.7707123522894284	0.4447669977081742	0.02495952998838878	0.02998444999611222
20260608	agri_aa_oil__100grainweight	genotype_population_ridge	test	163	36	36	0.1654193239192714	0.4444632225851059	0.37065637065637064	2.017416273901972	2.5709008591438836
20260608	agri_aa_oil__100grainweight	genotype_population_gene_methylation_pca_ridge	test	163	36	36	0.13125263777469576	0.5141967705005064	0.48674388674388674	2.021273869670129	2.622997740430598
20260608	agri_aa_oil__100grainweight	genotype_population_sparse_methylation_elasticnet	test	163	36	36	0.10733438319861965	0.3456875945527336	0.2743886743886744	2.1249412501049654	2.6588606125623024
20260608	metabolite__Pro_Leu_E1	genotype_population_ridge	test	122	24	24	-0.08692711278936716	0.1486164507793477	0.07610350256010406	302200.68697094166	356921.83988962084
20260608	metabolite__Pro_Leu_E1	genotype_population_gene_methylation_pca_ridge	test	122	24	24	0.0894004835608081	0.32919828499215864	0.27962601226369665	262602.5861725428	326690.5858148663
20260608	metabolite__Pro_Leu_E1	genotype_population_sparse_methylation_elasticnet	test	122	24	24	0.02191253673965643	0.331809512650786	0.29832573003560797	295455.3760490059	338580.3566748541
20260608	agri_aa_oil__Plantheight	genotype_population_ridge	test	164	36	36	-0.06547526861470088	0.2619683183841042	0.3281853281853282	15.42546474963655	20.18865852572157
20260608	agri_aa_oil__Plantheight	genotype_population_gene_methylation_pca_ridge	test	164	36	36	-0.06253141345225988	0.32184116065116547	0.39253539253539255	14.84650835143469	20.160749104716054
20260608	agri_aa_oil__Plantheight	genotype_population_sparse_methylation_elasticnet	test	164	36	36	-0.07452930099924582	0.2921153977390713	0.3410553410553411	14.81151938655222	20.274255111611115
20260608	agri_aa_oil__Oil_C200_C220	genotype_population_ridge	test	158	34	34	0.4307794358362438	0.6815075628487706	0.41726508785332317	0.22236667691191894	0.2906861165889321
20260608	agri_aa_oil__Oil_C200_C220	genotype_population_gene_methylation_pca_ridge	test	158	34	34	0.5014242846274817	0.7254777854245951	0.40320855614973256	0.2139261129018091	0.2720505196709245
20260608	agri_aa_oil__Oil_C200_C220	genotype_population_sparse_methylation_elasticnet	test	158	34	34	0.41507669876169795	0.6758353471447431	0.4099312452253629	0.23888173585480002	0.29466832913619584
20260608	agri_aa_oil__Oil_C16_1	genotype_population_ridge	test	158	34	34	0.5613583773841171	0.755211549719599	0.6122230710466005	0.0013880867084681444	0.0016661770203609287
20260608	agri_aa_oil__Oil_C16_1	genotype_population_gene_methylation_pca_ridge	test	158	34	34	0.5428320594745084	0.7692018915003395	0.6623376623376623	0.001379319159394273	0.0017009991806710158
20260608	agri_aa_oil__Oil_C16_1	genotype_population_sparse_methylation_elasticnet	test	158	34	34	0.40385352641445493	0.6610710547779209	0.5572192513368983	0.0016088586598406124	0.0019424180736355937
20260608	agri_aa_oil__Oil_C180_C200	genotype_population_ridge	test	158	34	34	0.10623143073440955	0.38548646830128674	0.3747899159663865	0.5355300593970655	0.6703860807064498
20260608	agri_aa_oil__Oil_C180_C200	genotype_population_gene_methylation_pca_ridge	test	158	34	34	0.10221503957074884	0.41160517174542977	0.439877769289534	0.531270151584435	0.671890672999452
20260608	agri_aa_oil__Oil_C180_C200	genotype_population_sparse_methylation_elasticnet	test	158	34	34	-0.04167553263834978	0.355310427154268	0.3790679908326967	0.5677771355223629	0.7237335091813223
20260609	agri_aa_oil__Kernernumberperrow	genotype_population_ridge	test	164	36	36	-0.05820212912441991	0.24454815239892128	0.24221364221364225	1.8624003703469403	2.396187683118196
20260609	agri_aa_oil__Kernernumberperrow	genotype_population_gene_methylation_pca_ridge	test	164	36	36	0.022579109367890426	0.3343498216828728	0.32432432432432434	1.7812434115408966	2.3029119029426086
20260609	agri_aa_oil__Kernernumberperrow	genotype_population_sparse_methylation_elasticnet	test	164	36	36	-0.24919221024548444	0.11086076543971737	0.1425997425997426	2.0842897244000413	2.603461439764071
20260609	agri_aa_oil__Oil_C20_1P	genotype_population_ridge	test	159	34	34	0.21215276912477277	0.49884644911030407	0.5336898395721925	0.03774802524084908	0.042867992609699
20260609	agri_aa_oil__Oil_C20_1P	genotype_population_gene_methylation_pca_ridge	test	159	34	34	0.30657419960517485	0.5723728841369488	0.5871657754010694	0.03500655735677375	0.04021722852911629
20260609	agri_aa_oil__Oil_C20_1P	genotype_population_sparse_methylation_elasticnet	test	159	34	34	0.45808368721727344	0.6771087455099579	0.655614973262032	0.028184465622065905	0.035553163732649024
20260609	metabolite__Norcinnamolaurine_E1	genotype_population_ridge	test	117	26	26	-0.11808025383345999	-0.0101386978506472	0.26153846153846155	5553070.8289243495	8093512.764674037
20260609	metabolite__Norcinnamolaurine_E1	genotype_population_gene_methylation_pca_ridge	test	117	26	26	-0.0799002688514645	0.11546759585973711	0.2793162393162393	5680867.153973722	7954124.636892688
20260609	metabolite__Norcinnamolaurine_E1	genotype_population_sparse_methylation_elasticnet	test	117	26	26	-0.0797347031711364	0.21303342282068521	0.42222222222222217	5581959.280690221	7953514.867372625
20260609	agri_aa_oil__Oil_C18_0	genotype_population_ridge	test	159	34	34	0.5248436274169561	0.7714905133635391	0.6012223071046601	0.025773495743821068	0.04303970848342881
20260609	agri_aa_oil__Oil_C18_0	genotype_population_gene_methylation_pca_ridge	test	159	34	34	0.6041249769364532	0.8540287902421253	0.5902215431627196	0.02281997483811145	0.03928530170835977
20260609	agri_aa_oil__Oil_C18_0	genotype_population_sparse_methylation_elasticnet	test	159	34	34	0.45167896503862826	0.6863016818253995	0.4499618029029794	0.03300127518712182	0.0462347480577211
20260609	agri_aa_oil__100grainweight	genotype_population_ridge	test	162	36	36	0.23687431068162634	0.5262595880105764	0.43722247339394765	1.8371787861031663	2.4184397504446387
