trait	nearest_gene_id	gene_relation	lead_snps	min_p_value	min_q_value_bh	max_minus_log10_p	mean_abs_partial_correlation	min_distance_to_gene_bp
agri_aa_oil__Oil_C16_0	Zm00001d041444	gene_body	1	7.772428641104371e-18	1.5850678556087298e-14	17.10944325653686	0.3970041236226734	0
agri_aa_oil__Oil_C16_0	Zm00001d033321	gene_body	1	1.1239557723607389e-17	2.202248086675763e-14	16.94925077791072	0.3952084808011187	0
agri_aa_oil__Oil_C16_0	Zm00001d036615	promoter	1	1.1626546279375197e-17	2.255956342923116e-14	16.934549275346207	0.3950431377401907	0
agri_aa_oil__Oil_C16_0	Zm00001d030002	nearest	1	1.4762612391947466e-17	2.8099015830524303e-14	16.830836782959	0.3938740700918036	10934
agri_aa_oil__Oil_C16_0	Zm00001d021217	cis_window	1	3.05663060963182e-17	5.656351547394231e-14	16.514757042102083	0.3902822028416478	4422
agri_aa_oil__Oil_C16_0	Zm00001d011558	gene_body	1	3.22061259390101e-17	5.905126151987893e-14	16.49206151313433	0.3900225960764018	0
agri_aa_oil__Oil_C16_0	Zm00001d021254	cis_window	1	3.2930618195963775e-17	5.983074209247761e-14	16.48240011634015	0.3899120127125154	8222
agri_aa_oil__Oil_C16_0	Zm00001d027958	nearest	1	3.478252255045772e-17	6.262608853012863e-14	16.458638924632982	0.3896398669416016	54368
agri_aa_oil__Oil_C16_0	Zm00001d042504	gene_body	1	3.530644730370798e-17	6.300183332437376e-14	16.452145980936493	0.389565456862374	0
agri_aa_oil__Oil_C16_0	Zm00001d041700	gene_body	1	3.618990797920234e-17	6.400681636364126e-14	16.4414125211796	0.3894424084072461	0
agri_aa_oil__Oil_C16_0	Zm00001d023853	nearest	1	3.995617836644323e-17	7.00480875754726e-14	16.398416056825816	0.3889489779054381	133675
agri_aa_oil__Oil_C16_0	Zm00001d002896	gene_body	1	4.066516638544502e-17	7.067110863590871e-14	16.390777446402495	0.3888612296591435	0
agri_aa_oil__Oil_C16_0	Zm00001d008491	cis_window	1	4.549416459297896e-17	7.83817393008138e-14	16.342044305487825	0.3883007897769157	33
agri_aa_oil__Oil_C16_0	Zm00001d051754	gene_body	1	4.757055164171021e-17	8.069667380728536e-14	16.322661812347985	0.3880775890980928	0
